,0,1,2,3
470,TR054,Occupational Therapy,500,520.0
471,TR055,Radiation Therapy,510,521.0
472,TR056,Human Health and Disease,543,565.0
473,TR060,Biological and Biomedical Sciences,510,542.0
474,TR061,Chemical Sciences,488,520.0
475,TR062,Geography and Geoscience,435,485.0
476,TR063,Physical Sciences,498,543.0
477,TR072,Pharmacy,555,577.0
478,TR080,Global Business,565,577.0
479,TR081,"Business, Economic and Social Studies (BESS)",518,542.0
480,TR082,Computer Science and Business,510,542.0
481,TR083,Sociology and Social Policy,451,474.0
482,TR084,Social Studies (Social Work),420,462.0
483,TR085,Business Studies and French,509,553.0
484,TR086,Business Studies and German,474,495.0
485,TR087,Business Studies and Russian,467,487.0
486,TR089,Business Studies and Polish,393,434.0
487,TR090,Business Studies and Spanish,510,543.0
488,TR091,General Nursing (Meath and St James`s),393,420.0
489,TR093,General Nursing (Adelaide School of Nursing),378,409.0
490,TR095,Mental Health Nursing,358,377.0
491,TR097,Intellectual Disability Nursing,346,350.0
492,TR911,Children`s and General Nursing (Integrated),476,487.0
493,TR913,Midwifery,423,462.0
494,DN100,Architecture,473,509.0
495,DN120,Landscape Architecture,353,403.0
496,DN130,City Planning and Environmental Policy,367,421.0
497,DN150,Engineering (Common Entry),511,554.0
498,DN200,Science (options),521,554.0
499,DN201,Computer Science (Common Entry),488,509.0
500,DN230,Actuarial and Financial Studies,577,589.0
501,DN250,Agricultural Science (options),420,462.0
502,DN252,Dairy Business,398,428.0
503,DN253,Agri - Environmental Sciences,403,419.0
504,DN261,Food Science,434,467.0
505,DN262,Human Nutrition,493,510.0
506,DN271,Forestry,303,361.0
507,DN272,"Horticulture, Landscape and Sportsturf Management",252,312.0
508,DN300,Veterinary Medicine - Undergraduate Entry,567,589.0
509,DN301,Veterinary Medicine - Graduate Entry,,
510,DN310,Veterinary Nursing,441,487.0
511,DN400,Medicine - Undergraduate Entry (HPAT required),735,745.0
512,DN401,Medicine - Graduate Entry (GAMSAT required),59,61.0
513,DN410,Radiography,507,522.0
514,DN411,Radiography - Graduate Entry,,
515,DN420,Physiotherapy,542,555.0
516,DN425,Health and Performance Science,488,509.0
517,DN430,Sport and Exercise Management,436,455.0
518,DN440,"Biomedical, Health and Life Sciences",565,579.0
519,DN450,General Nursing,398,420.0
520,DN451,Children`s and General Nursing (Integrated),462,499.0
521,DN452,Midwifery,409,452.0
522,DN453,Mental Health Nursing,379,403.0
523,DN520,Arts (Two Subjects),336,408.0
524,DN530,Humanities (options),348,411.0
525,DN541,Modern Languages (options),348,412.0
526,DN600,Law (options),520,532.0
527,DN610,Business and Law,521,543.0
528,DN650,Commerce,498,510.0
529,DN660,Commerce International (options),507,531.0
530,DN670,Economics and Finance,601,601.0
531,DN700,Social Sciences (options),388,441.0
532,DN710,Economics,476,488.0
533,DN720,Psychology,517,531.0
534,DN750,Social Policy and Sociology,330,366.0
535,DK810,Accounting and Finance,306,391.0
536,DK816,Business Studies,300,357.0
537,DK820,Computing in Games Development,307,369.0
538,DK821,Computing in Software Development,301,347.0
539,DK830,Building Surveying,302,349.0
540,DK831,Architectural Technology,301,366.0
541,DK832,Construction Management,300,329.0
542,DK843,Engineering (Common Entry),303,402.0
543,DK860,Music,499,649.0
544,DK861,Arts,300,358.0
545,DK862,Social Care,300,338.0
546,DK863,Creative Media,300,376.0
547,DK864,Film and Television Production,300,332.0
548,DK865,Audio and Music Production,301,346.0
549,DK870,General Nursing,392,401.0
550,DK872,Intellectual Disability Nursing,300,317.0
551,DK874,Mental Health Nursing,356,378.0
552,DK876,Early Childhood Studies,305,359.0
553,DK877,Midwifery,398,441.0
554,DK880,Health and Physical Activity,300,367.0
555,DK882,Agriculture (Award options),303,358.0
556,DK883,Science (Award options),300,369.0
557,GA181,Accounting,303,378.0
558,GA182,Business,290,347.0
559,GA183,Business Information Systems,309,373.0
560,GA184,Marketing and Sales,307,348.0
561,GA185,Finance and Economics,307,398.0
562,GA186,Business with Entrepreneurship,297,328.0
563,GA187,Rural Enterprise and Agri-Business (Mountbellew Campus),280,367.0
564,GA281,Film and Documentary,287,360.0
565,GA282,Heritage Studies,238,308.0
566,GA283,Contemporary Art,260,340.0
567,GA284,Design,309,377.0
568,GA380,International Hotel Management,225,289.0
569,GA381,International Tourism Management,261,290.0
570,GA382,Culinary and Gastronomic Science,225,316.0
571,GA384,Event Management with Public Relations,209,289.0
572,GA385,Retail Management,219,319.0
573,GA480,Construction Management,260,312.0
574,GA482,Quantity Surveying and Construction Economics,280,340.0
575,GA483,Architectural Technology,251,321.0
576,GA484,Civil Engineering,270,362.0
577,GA580,Software and Electronic Engineering,301,351.0
578,GA680,Mechanical Engineering,336,389.0
579,GA681,Energy Engineering,281,328.0
580,GA682,Biomedical Engineering,331,383.0
581,GA683,Agricultural Engineering,301,365.0
582,GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),346,406.0
583,GA780,Applied Freshwater and Marine Biology,300,360.0
584,GA781,Applied Biology and Biopharmaceutical Science,317,376.0
585,GA782,Chemical and Pharmaceutical Science,307,346.0
586,GA783,Physics and Instrumentation,373,378.0
587,GA784,Science (Undenominated),327,377.0
588,GA785,Medical Science,451,486.0
589,GA786,Forensic Science and Analysis,300,366.0
590,GA787,Computing in Software Development,275,327.0
591,GA788,Computing and Digital Media,270,327.0
592,GA789,Agriculture and Environmental Management (Mountbellew Campus),297,339.0
593,GA790,Sport and Exercise Science,350,379.0
594,GA791,Public Health Nutrition,364,397.0
595,GA880,General Nursing - Mayo Campus,389,400.0
596,GA882,Psychiatric Nursing - Mayo Campus,346,370.0
597,GA885,Outdoor Education - Mayo Campus,210,298.0
598,GA887,History and Geography - Mayo Campus,228,296.0
599,GA889,Applied Social Care - Mayo Campus,260,297.0
600,GA890,Early Childhood Care and Education - Mayo Campus,278,319.0
601,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,376,389.0
602,GA981,Furniture Design and Manufacture - Letterfrack Campus,271,350.0
603,GA982,Furniture and Wood Technology - Letterfrack Campus,270,352.0
604,GY101,Arts (Joint-Honours),300,374.0
605,GY104,Arts (Psychology),507,529.0
606,GY105,Arts (History),318,358.0
607,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),330,397.0
608,GY109,Arts (Mathematics and Education),411,487.0
609,GY110,Arts with Children's Studies,382,409.0
610,GY111,Arts with Creative Writing,402,472.0
611,GY112,Arts with Film Studies,338,370.0
612,GY113,Arts with Human Rights,338,409.0
613,GY115,Arts with Performing Arts Studies,328,367.0
614,GY118,"Arts (Drama, Theatre and Performance Studies)",410,451.0
615,GY119,Journalism,410,475.0
616,GY120,"Arts (Child, Youth and Family: Policy and Practice)",309,346.0
617,GY121,Arts (Children's Studies),356,389.0
618,GY122,Na Dána (Cumarsáid agus Gaeilge),308,399.0
619,GY123,BSc (Applied Social Sciences),357,388.0
620,GY124,Arts (Arts with Data Science),434,466.0
621,GY125,Arts (Digital Arts and Technology),324,379.0
622,GY126,Arts (English and Media Studies),418,451.0
623,GY127,Arts (Film and Digital Media),387,435.0
624,GY128,Arts (Global Languages),370,440.0
625,GY129,Arts (International),408,477.0
626,GY130,Arts (Music),400,444.0
627,GY131,Arts (History and Globalisation Studies),340,431.0
628,GY132,"Government (Politics, Economics and Law)",402,444.0
629,GY133,Education (Computer Science and Mathematical  Studies),401,466.0
630,GY201,Commerce,420,453.0
631,GY202,Commerce (International) with French,484,513.0
632,GY203,Commerce (International) with German,489,541.0
633,GY204,Commerce (International) with Spanish,484,500.0
634,GY206,Business Information Systems (Work Placement & Optional Int`l Study),431,445.0
635,GY207,Commerce (Accounting) including optional Global Experience year,486,510.0
636,GY208,Commerce (Gaeilge),473,488.0
637,GY209,Commerce (Global Experience),509,531.0
638,GY250,Law & Business,436,467.0
639,GY251,Law,473,498.0
640,GY252,Law & Human Rights,510,521.0
641,GY261,"Business Studies (International Hotel Management, Shannon)",486,615.0
642,GY262,"Commerce (International Hotel Management, Shannon)",671,726.0
643,GY301,Science,400,456.0
644,GY303,Biomedical Science,533,566.0
645,GY304,Biotechnology,473,507.0
646,GY308,Environmental Science,413,440.0
647,GY309,Financial Mathematics and Economics,454,498.0
648,GY310,Marine Science,409,456.0
649,GY313,Environmental Health and Safety,402,435.0
650,GY314,Earth and Ocean Sciences,402,425.0
651,GY318,Biopharmaceutical Chemistry,510,532.0
652,GY319,Mathematical Science,456,531.0
653,GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",401,487.0
654,GY350,Computer Science and Information Technology,425,466.0
655,GY401,Engineering (Undenominated),444,499.0
656,GY402,Civil Engineering,509,543.0
657,GY405,Mechanical Engineering,443,499.0
658,GY406,Electronic and Computer Engineering,509,547.0
659,GY408,Biomedical Engineering,519,543.0
660,GY410,Project and Construction Management,434,464.0
661,GY413,Energy Systems Engineering,532,589.0
662,GY414,Electrical and Electronic Engineering,454,487.0
663,GY501,"Medicine (five year/six year course, HPAT required)",726,731.0
664,GY502,Occupational Therapy,532,543.0
665,GY503,Speech and Language Therapy,529,543.0
666,GY504,Podiatric Medicine,434,463.0
667,GY515,General Nursing (Galway and Portiuncula),442,466.0
668,GY516,Mental Health Nursing,388,413.0
669,GY517,Midwifery,429,468.0
670,LY108,Business - Accounting,318,399.0
671,LY118,Business,287,352.0
672,LY208,Law,300,359.0
673,LY218,Business - with Spanish/Irish options,298,367.0
674,LY228,Sports and Exercise (Common Entry),278,330.0
675,LY408,Design (Common Entry),307,368.0
676,LY508,Fire Safety Engineering,270,299.0
677,LY518,Quantity Surveying,307,368.0
678,LY528,Construction Management,267,291.0
679,LY608,Mechanical Engineering,304,333.0
680,LY618,Electronics and Embedded Systems,307,339.0
681,LY708,Applied Computing,300,348.0
682,LY818,Science (Common Entry),302,371.0
683,LY828,Agriculture (Common Entry),300,342.0
684,LY908,General Nursing,383,390.0
685,LY918,Psychiatric Nursing,291,332.0
686,LY928,Intellectual Disability Nursing,288,299.0
687,LY968,"Early Childhood Care, Health and Education",300,336.0
688,LY978,Health & Social Care (Common Entry),260,299.0
689,MI001,Contemporary & Applied Theatre Studies,345,381.0
690,MI002,Arts (offered in conjunction with the University of Limerick),300,378.0
691,MI005,Education - Primary Teaching,473,506.0
692,MI006,Education - Primary Teaching (Gaeltacht Applicants),442,473.0
693,MI007,Early Childhood Care and Education,366,402.0
694,MI008,Education and Psychology - Primary Teaching,543,555.0
695,MI009,"Education, Business Studies and Accounting (Thurles Campus)",392,420.0
696,MI010,"Education, Business Studies and Religious Studies (Thurles Campus)",326,355.0
697,MI011,"Education, Irish and Religious Studies (Thurles Campus)",377,387.0
698,MI012,"Education, Irish and Business Studies (Thurles Campus)",398,440.0
699,MI013,"Education, Mathematics and Gaeilge (Thurles Campus)",433,465.0
700,CI101,Counselling and Psychotherapy (Limerick),276,328.0
701,LC110,"Art and Design (Common Entry, portfolio)",734,918.0
702,LC114,Fashion and Textiles for Product and Costume (portfolio),900,988.0
703,LC220,Digital Marketing,254,288.0
704,LC223,Law and Taxation,308,372.0
705,LC224,Accounting and Finance,299,382.0
706,LC225,Marketing and Management,298,337.0
707,LC226,Enterprise and Innovation,216,298.0
708,LC233,Software Development,300,371.0
709,LC234,Interactive Digital Media,219,288.0
710,LC236,Internet Systems Development,298,319.0
711,LC239,Computer Networks and Systems Management,335,347.0
712,LC241,Construction Management,276,303.0
713,LC242,Property Valuation and Management,292,328.0
714,LC243,Quantity Surveying,281,360.0
715,LC248,Built Environment (Common Entry),307,350.0
716,LC252,Civil Engineering Management,281,331.0
717,LC263,Clinical Technology,282,359.0
718,LC265,Forensic and Pharmaceutical Sciences,335,368.0
719,LC266,Drug and Medicinal Product Analysis,236,299.0
720,LC275,Electrical Engineering,288,340.0
721,LC288,Mechanical Engineering,307,360.0
722,LC289,Precision Engineering,280,369.0
723,LC292,Social Care Work,360,389.0
724,LC293,Business Studies with Travel and Tourism Management,299,326.0
725,LC294,Business Studies with Event Management,271,300.0
726,LC295,Business Studies with Sports Management,263,298.0
727,LC297,Community Development,217,269.0
728,LC320,Business,337,378.0
729,LC330,Business with Computing,298,326.0
730,LC340,Interior Design,298,349.0
731,LC362,Biotechnology and Biopharmaceutical Sciences,379,402.0
732,LC371,Creative Broadcast and Film Production,298,339.0
733,LC372,Music Technology and Production,321,369.0
734,LC374,Renewable and Electrical Energy Engineering,317,368.0
735,LC375,Industrial Automation & Robotic Systems,321,368.0
736,LC376,Electronic Engineering,308,346.0
737,LC380,Automotive Engineering and Transport Management,282,329.0
738,LC392,Beauty and Spa Management,217,318.0
739,LC393,Early Childhood Education & Care,260,309.0
740,LC401,Early Childhood Education & Care (Thurles),298,387.0
741,LC402,Social Care Work (Thurles),209,290.0
742,LC408,Environmental and Geographical Sciences (Thurles),262,346.0
743,LC411,Marketing and Management (Thurles),226,300.0
744,LC418,Computing - Games Design and Development (Thurles),271,318.0
745,LC422,Sports Strength and Conditioning (Thurles),288,333.0
746,LC434,Environmental Management in Agriculture (Thurles),278,347.0
747,LC502,"Game Art and Design (Clonmel, portfolio)",838,950.0
748,LC517,Creative Media and Design (Clonmel),229,273.0
749,LC518,"Digital Animation Production (Clonmel, portfolio)",816,962.0
750,LC612,Social Care Work (Ennis),319,338.0
751,LC613,Early Childhood Education & Care (Ennis),346,388.0
752,LM002,Arts (offered in conjunction with Mary Immaculate College),329,388.0
753,LM020,Law and Accounting,436,476.0
754,LM026,Performing Arts (audition required),307,367.0
755,LM028,Criminal Justice,387,409.0
756,LM029,Law Plus,473,499.0
757,LM038,Psychology and Sociology,478,489.0
758,LM039,Journalism and New Media,388,430.0
759,LM040,European Studies,350,462.0
760,LM044,Applied Languages,404,473.0
761,LM050,Business Studies,419,455.0
762,LM056,International Business,511,543.0
763,LM058,Financial Mathematics,434,543.0
764,LM063,Technology Management,372,409.0
765,LM068,Food Science and Health,400,430.0
766,LM076,Product Design and Technology (portfolio required),402,466.0
767,LM077,Aeronautical Engineering,469,531.0
768,LM082,Construction Management and Engineering,368,404.0
769,LM089,Sport and Exercise Sciences,441,466.0
770,LM090,Physical Education with concurrent Teacher Education,498,520.0
771,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),478,509.0
772,LM093,Equine Science,338,381.0
773,LM094,Materials and Architectural Technology with concurrent Teacher Education,405,433.0
774,LM095,Materials and Engineering Technology with concurrent Teacher Education,358,409.0
775,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),382,422.0
776,LM099,Architecture (portfolio required),419,473.0
777,LM100,Physiotherapy,565,577.0
778,LM101,Medicine  - Graduate Entry (GAMSAT required),55,57.0
779,LM102,Psychology,495,519.0
780,LM103,Paramedic Studies (B and C1 Drivers Licence),313,403.0
781,LM115,Chemical and Biochemical Engineering,456,520.0
782,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),434,498.0
783,LM118,Electronic and Computer Engineering,401,498.0
784,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),352,420.0
785,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),330,430.0
786,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),412,455.0
787,LM124,Mathematics (Math Science/Maths and Physics/Economics and Math Scien,e)427,521.0
788,LM125,Physics (Applied Physics/Mathematics and Physics),405,509.0
789,LM150,General Nursing,440,463.0
790,LM152,Mental Health Nursing,388,418.0
791,LM154,Intellectual Disability Nursing,381,408.0
792,LM156,Midwifery,429,444.0
793,MU001,Theology and Arts,290,318.0
794,MU002,Theology,292,377.0
795,MH001,Education - Primary Teaching (Froebel),496,520.0
796,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),441,
797,MH101,Arts,316,369.0
798,MH103,Music,,367.0
799,MH106,Psychology - 3 years,495,499.0
800,MH107,Social Science,326,349.0
801,MH109,Media Studies,317,377.0
802,MH116,Community and Youth Work (Full-Time),,271.0
803,MH201,Science,350,392.0
804,MH202,Biotechnology,429,446.0
805,MH204,Physics with Astrophysics,420,488.0
806,MH206,Theoretical Physics and Mathematics,498,566.0
807,MH207,Data Science,434,466.0
808,MH208,Biological and Biomedical Sciences,451,476.0
809,MH209,Psychology (through Science) - 4 years,473,485.0
810,MH210,Pharmaceutical and Biomedical Chemistry,446,466.0
811,MH212,Science/Computer Science/Mathematics (with Education) - options,444,476.0
812,MH304,Engineering (Computer/Electronic/Communications),371,423.0
813,MH305,Product Design,358,411.0
814,MH306,Robotics and Intelligent Devices,361,424.0
815,MH401,Finance (options),352,392.0
816,MH402,Quantitative Finance,476,487.0
817,MH403,Accounting and Finance,402,432.0
818,MH404,Business (options),400,429.0
819,MH405,Equine Business,357,398.0
820,MH407,Business and Accounting,401,420.0
821,MH411,Entrepreneurship,358,388.0
822,MH501,LLB Law - four year Single Major Law programme,451,476.0
823,MH502,Law (options),410,442.0
824,MH601,Computer Science through Arts (options),342,369.0
825,MH602,Computer Science through Science (options),357,413.0
826,MH603,Computational Thinking,520,543.0
827,MH801,Early Childhood - Teaching and Learning (part-time),347,358.0
828,MH802,"Community and Youth Work (part-time, in service",,
829,MH803,"Local Studies or Community Studies (part-time, evening)- Mature Students",,
830,AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497.0
831,AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433.0
832,AS003,"Education, Home Economics and Irish - with concurrent Teacher Ed",421,457.0
833,AS051,"Nutrition, Food and Business Management",337,399.0
834,AS054,Home Economics,387,401.0
835,AS110,General Nursing,391,409.0
836,AS130,Intellectual Disability Nursing,317,338.0
837,SG141,Business,252,317.0
838,SG142,Business in International Marketing and Sales with French,270,388.0
839,SG144,Business in International Marketing and Sales with Spanish,280,388.0
840,SG146,Accounting,307,347.0
841,SG147,Sport with Business,269,316.0
842,SG148,Tourism with Event Management,246,282.0
843,SG149,Business in Finance and Investment,262,357.0
844,SG241,Performing Arts,279,348.0
845,SG242,Early Childhood Care and Education,278,318.0
846,SG243,Social Care Practice,297,338.0
847,SG244,Fine Art,355,496.0
848,SG245,Creative Design,261,338.0
849,SG246,Computing,295,368.0
850,SG247,English and Psychology,308,336.0
851,SG248,Sociology and Politics,282,320.0
852,SG249,Writing and Literature,279,338.0
853,SG250,Application Design and User Experience,290,431.0
854,SG251,Computing (Smart Technologies),303,391.0
855,SG252,Software Development,300,354.0
856,SG253,Computer Networks and Cloud Infrastructure,273,341.0
857,SG343,Quantity Surveying,261,302.0
858,SG346,Construction Project Management and Applied Technology,289,351.0
859,SG347,Architecture,309,357.0
860,SG441,Environmental Science,297,358.0
861,SG442,Occupational Safety and Health,289,330.0
862,SG443,Human Nutrition,357,419.0
863,SG444,Science (Undenominated),308,369.0
864,SG445,Pharmaceutical Science with Drug Development,347,369.0
865,SG446,Applied Archaeology,289,290.0
866,SG447,Health Science and Physical Activity,316,363.0
867,SG448,Forensic Investigation and Analysis,306,348.0
868,SG449,Medical Biotechnology,329,352.0
869,TL801,Animation Visual Effects and Motion Design,281,341.0
870,TL802,"TV, Radio and New Media",306,356.0
871,TL803,Music Technology,264,288.0
872,TL810,Computing with Software Development,309,341.0
873,TL811,Computing with Games Development,310,334.0
874,TL812,Computing with Digital Media,369,369.0
875,TL815,Computing (Degree Award options),308,378.0
876,TL823,Event Management (3 year programme),291,346.0
877,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),307,372.0
878,TL842,Construction Management,,
879,TL844,Agricultural Engineering,311,368.0
880,TL845,Civil Engineering,300,364.0
881,TL847,Manufacturing Engineering,,
882,TL848,Agricultural Science,331,362.0
883,TL851,Wildlife Biology (Degree Award options),310,362.0
884,TL855,Pharmaceutical Science (Degree Award options),342,386.0
885,TL858,Veterinary Bioscience,326,369.0
886,TL871,Health and Leisure (Degree Award options),303,346.0
887,TL872,Health and Leisure with Massage,288,357.0
888,TL873,Coaching and Sports Performance,282,336.0
889,TL880,Early Childhood Care and Education,307,347.0
890,TL881,Social Care,308,356.0
891,TL889,Counselling with Addiction - Mature applicants only,,
892,TL890,General Nursing and Mature Applicants,407,431.0
893,TL891,Mental Health Nursing and Mature Applicants,367,379.0
894,WD001,Applied Computing (options),279,358.0
895,WD002,Science (options),302,377.0
896,WD005,Health Sciences (options),288,347.0
897,WD006,Exercise Sciences (options),282,337.0
898,WD007,Engineering (options),287,382.0
899,WD025,Construction Management and Engineering,269,327.0
900,WD027,Music,290,317.0
901,WD048,Business (options),278,357.0
902,WD084,Accounting,307,403.0
903,WD091,Hospitality Management,210,281.0
904,WD116,General Nursing,413,430.0
905,WD117,Psychiatric Nursing,361,382.0
906,WD120,Intellectual Disability Nursing,338,359.0
907,WD134,International Business,289,350.0
908,WD137,Design (Visual Communications),253,373.0
909,WD140,Laws,290,352.0
910,WD144,Architecture,283,385.0
911,WD147,Pharmaceutical Science,298,363.0
912,WD148,Tourism Marketing,269,338.0
913,WD149,Early Childhood Studies,288,336.0
914,WD150,Criminal Justice Studies,271,311.0
915,WD152,Visual Art,253,323.0
916,WD161,Computer Forensics and Security,262,401.0
917,WD162,Quantity Surveying,260,320.0
918,WD163,Psychology,390,429.0
919,WD186,Sports Coaching and Performance,276,327.0
920,WD187,Social Science,271,321.0
921,WD191,Agricultural Science,378,421.0
922,WD192,Social Care Practice,279,323.0
923,WD193,Marketing and Digital Media,290,358.0
924,WD194,Culinary Arts,235,331.0
925,WD195,Architectural and Building Information Modelling Technology,266,305.0
926,WD200,Arts (options),221,296.0
927,WD210,Software Systems Development,271,329.0
928,WD211,Creative Computing,275,322.0
929,WD212,Recreation and Sport Management,274,311.0
930,WD230,Mechanical and Manufacturing Engineering,273,348.0
